Name,SRS (logit),SRS (final)
000_tfz-d+N131+0,0.35,0
001_scu+N131+2,0.38,0
006_tfz-d+N131+8,0.48,0
 009_scu+N131+13,0.76,1
012_hex+N131+18,0.49,0
017_flu+N131+16,0.35,0
020_tfz-d+N131+26,0.53,1
022_hex+N131+28,0.31,0
030_tfz-d+N131+39,0.71,1
032_tfz-d+N131+42,0.62,1
034_scu+N131+45,0.64,1
051_tfz-d+N131+72,0.33,0
078_apo+N442+125,0.13,0
084_tfz-d+N131+133,0.18,0
089_tfz-d+N131+140,0.35,0
090_tfz-d+N131+142,0.31,0
095_bcg+N131+153,0.59,1
098_tfz-d+N131+157,0.62,1
099_scu+N131+158,0.6,1
106_scu+N131+165,0.82,1
109_dmp+N520+99,0.15,0
111_csq+N131+36,0.9,1
117_tfz-d+N131+179,0.39,0
119_tfz-d+N131+182,0.34,0
121_bcg+N131+187,0.71,1
123_bcg+N131+191,0.49,0
128_apo+N442+178,0.33,0
131_tfz-d+N131+208,0.38,0
132_tfz-d+N131+209,0.69,1
138_tfz-d+N131+223,0.36,0
140_rob+N339+237,0.17,0
143_tfz-d+N131+239,0.41,0
154_bcg+N131+255,0.58,1
158_scu+N131+261,0.84,1
160_tfz-d+N131+264,0.33,0
162_tfz-d+N131+272,0.27,0